SKU;longDescription;Categorie;sous_categorie;manufacturer;stock_disponible;minimum_order_quantity;prix_stm_HT;prix_public_HT
RS51B0-LBRMWR;scanner Bluetooth, 2D, imageur (SE4710), Bluetooth (classe 4), indice de protection: IP65, inclus: batterie, gant (droite, taille: M), commandez séparément: station chargeur, câble de chargeur, couleur: noir, argent;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;6;1;880.09;1130.22
RS51B0-LBRSWR;scanner Bluetooth, 2D, imageur (SE4710), Bluetooth (classe 4), indice de protection: IP65, inclus: batterie, gant (droite, taille: S), commandez séparément: station chargeur, câble de chargeur, couleur: noir, argent;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;0;1;880.09;1130.22
RS51B0-TBLLWR;scanner Bluetooth, 2D, imageur (SE4770), Bluetooth (classe 4), indice de protection: IP65, inclus: batterie, gant (gauche, taille: L), commandez séparément: station chargeur, câble de chargeur, couleur: noir, argent;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;0;1;914.52;1174.45
RS51B0-TBLMWR;scanner Bluetooth, 2D, imageur (SE4770), Bluetooth (classe 4), indice de protection: IP65, inclus: batterie, gant (gauche, taille: M), commandez séparément: station chargeur, câble de chargeur, couleur: noir, argent;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;15;1;914.52;1174.45
RS51B0-TBLSWR;scanner Bluetooth, 2D, imageur (SE4770), Bluetooth (classe 4), indice de protection: IP65, inclus: batterie, gant (gauche, taille: S), commandez séparément: station chargeur, câble de chargeur, couleur: noir, argent;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;0;1;914.52;1174.45
RS51B0-TBRLWR;scanner Bluetooth, 2D, imageur (SE4770), Bluetooth (classe 4), indice de protection: IP65, inclus: batterie, gant (droite, taille: L), commandez séparément: station chargeur, câble de chargeur, couleur: noir, argent;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;0;1;914.52;1174.45
RS51B0-TBRMWR;scanner Bluetooth, 2D, imageur (SE4770), Bluetooth (classe 4), indice de protection: IP65, inclus: batterie, gant (droite, taille: M), commandez séparément: station chargeur, câble de chargeur, couleur: noir, argent;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;24;1;914.52;1174.45
RS51B0-TBRSWR;scanner Bluetooth, 2D, imageur (SE4770), Bluetooth (classe 4), indice de protection: IP65, inclus: batterie, gant (droite, taille: S), commandez séparément: station chargeur, câble de chargeur, couleur: noir, argent;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;0;1;914.52;1174.45
RS51B0-LNNMWR;scanner Bluetooth, 2D, imageur (SE4710), Bluetooth (classe 4), indice de protection: IP65, commandez séparément: batterie, station chargeur, câble de chargeur, couleur: noir, argent;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;0;1;701.51;900.9
RS51B0-LBDNWR;Bluetooth scanner, warehouse, 2D, imager (SE4710), trigger, Bluetooth (class 4), protection class: IP65, incl.: battery, order separately: charging cradle, charging cable, colour: black, silver;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;16;1;769.4;988.09
RS51B0-LBLNWR;Bluetooth scanner, warehouse, 2D, imager (SE4710), trigger, Bluetooth (class 4), protection class: IP65, incl.: battery, order separately: charging cradle, charging cable, colour: black, silver;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;0;1;769.4;988.09
RS51B0-TESNWR;RS5100 RING SCANNER, SE4770, EXTENDED BATTERY, SINGLE TRIGGER, NO USB, WORLDWIDE. RESTRICTED ITEM CLASS 4.REQUIRE CORRESPONDING CERTIFICATION.;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;1018;1;844.72;1055.9
RS51B0-TEDNWR;RS5100 SINGLE FINGER BLUETOOTH RING SCANNER, SE4770, EXTENDED BATTERY, DOUBLE TRIGGER, TOP TRIGGER, WORLDWIDE. RESTRICTED ITEM CLASS 4. REQUIRE CORRESPONDING CERTIFICATION;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;1424;1;844.72;1055.9
RS51B0-TBLNWR;Bluetooth scanner, warehouse, 2D, imager (SE4770), trigger, Bluetooth (class 4), protection class: IP65, incl.: battery, order separately: charging cradle, charging cable, colour: black, silver;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;6;1;803.36;1031.68
RS51B0-TBDNWR;RS5100 RING SCANNER, SE4770, STANDARD BATTERY, DOUBLE TRIGGER, NO USB, WORLDWIDE. RESTRICTED ITEM CLASS 4. REQUIRE CORRESPONDING CERTIFICATION;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;63;1;825.35;1031.68
